Co-benefit Name,Weight Scale,Dry Pond,Wet Pond,Infiltration Basin,Dry Well,Infiltration Trench,Sand Filter,Porous Pavement,Grassed Swale,Vegetated Filter Strip,Bioretention,Rain Garden,Tree Box,Constructed Wetland
Air quality improvement,1,1.55,2.45,3.0,1.0,2.4,1.44,1.4,3.09,3.27,3.55,3.82,3.8,3.82
Biodiversity and Ecology,3,1.64,3.55,2.64,0.9,2.3,1.67,1.1,3.36,3.18,3.9,4.09,3.3,4.27
Groundwater Recharge,4,1.8,2.4,4.27,2.67,3.91,3.22,3.5,3.0,2.5,3.67,3.5,2.89,4.1
Temperature reduction,1,1.67,3.0,2.7,1.33,2.2,2.0,2.3,3.1,2.9,3.6,3.7,3.6,3.7
Amenity and Aesthetics,4,1.8,3.27,2.45,0.89,1.9,1.6,1.5,3.18,3.36,4.0,4.55,3.9,4.09
Food Security,2,0.89,1.33,1.78,0.89,1.56,1.22,0.78,1.7,2.0,2.4,2.4,2.2,1.7
Recreation and Health,4,1.9,3.09,2.64,1.0,1.8,1.3,1.5,2.73,2.55,3.1,3.36,3.0,3.64
Pumping and Treatment Reduction,3,2.75,3.38,3.89,2.71,3.5,3.25,3.13,3.44,3.44,4.13,4.0,3.5,4.11
Rainwater Harvesting,5,2.0,3.33,3.4,3.11,3.2,2.4,2.2,1.9,1.7,3.2,3.3,2.6,3.0
Real Estate Value Appreciation,2,1.56,2.78,2.56,1.56,2.33,2.11,2.44,2.44,3.0,3.78,4.11,4.0,3.33
